emp_no,first_name,last_name,salary,title,dept_name
10001,Georgi,Facello,60117,Senior Engineer,Development
10004,Chirstian,Koblick,40054,Senior Engineer,Production
10005,Kyoichi,Maliniak,78228,Senior Staff,Human Resources
10006,Anneke,Preusig,40000,Senior Engineer,Development
10009,Sumant,Peac,60929,Senior Engineer,Quality Management
10018,Kazuhide,Peha,55881,Senior Engineer,Production
10019,Lillian,Haddadi,44276,Staff,Research
10020,Mayuko,Warwick,40000,Engineer,Production
10022,Shahaf,Famili,40000,Engineer,Development
10023,Bojan,Montemayor,47883,Engineer,Development
10026,Yongqiao,Berztiss,47585,Senior Engineer,Production
10035,Alain,Chappelet,41538,Senior Engineer,Production
10047,Zvonko,Nyanchama,54982,Senior Engineer,Production
10051,Hidefumi,Caine,48817,Senior Engineer,Production
10053,Sanjiv,Zschoche,67854,Senior Staff,Sales
10057,Ebbe,Callaway,49616,Senior Engineer,Development
10058,Berhard,McFarlin,52787,Senior Staff,Marketing
10059,Alejandro,McAlpine,71218,Senior Staff,Finance
10063,Gino,Leonhardt,40000,Senior Engineer,Production
10066,Kwee,Schusler,69736,Senior Engineer,Development
10067,Claudi,Stavenow,44642,Senior Engineer,Quality Management
10070,Reuven,Garigliano,55999,Technique Leader,Research
10072,Hironoby,Sidou,40000,Senior Engineer,Development
10074,Mokhtar,Bernatsky,61714,Technique Leader,Development
10076,Erez,Ritzmann,47319,Senior Engineer,Development
10088,Jungsoon,Syrzycki,65957,Senior Staff,Customer Service
10091,Amabile,Gomatam,40000,Senior Engineer,Development
10096,Jayson,Mandell,61395,Engineer,Production
10097,Remzi,Waschkowski,44886,Senior Staff,Research
10100,Hironobu,Haraldson,54398,Senior Staff,Human Resources
10103,Akemi,Birch,68158,Engineer,Development
10106,Eben,Aingworth,62928,Senior Engineer,Production
10126,Kayoko,Valtorta,40000,Senior Staff,Customer Service
10127,Subir,Baja,40000,Senior Engineer,Development
10129,Armond,Peir,40000,Technique Leader,Development
10130,Nishit,Casperson,40000,Senior Engineer,Production
10134,Diederik,Siprelle,40000,Senior Engineer,Production
10138,Perry,Shimshoni,53574,Senior Engineer,Quality Management
10150,Zhenbing,Perng,70122,Senior Engineer,Development
10153,Heekeun,Majewski,54246,Assistant Engineer,Development
10157,Nigel,Aloisi,48770,Senior Engineer,Development
10159,Serif,Buescher,52881,Senior Engineer,Quality Management
10160,Debatosh,Khasidashvili,91622,Senior Staff,Sales
10163,Karsten,Szmurlo,41603,Senior Staff,Human Resources
10166,Samphel,Siegrist,51586,Engineer,Development
10183,Mechthild,Bonifati,40000,Staff,Customer Service
10194,Josyula,Hofmeyr,64941,Senior Staff,Finance
10196,Marc,Hellwagner,86671,Staff,Finance
10198,Pranav,Furedi,44076,Senior Engineer,Development
10203,Steen,Escriba,40000,Senior Staff,Research
10205,Mabhin,Leijenhorst,40000,Senior Engineer,Production
10207,Girolamo,Anandan,52783,Senior Engineer,Development
10215,Xiaobin,Duclos,43944,Senior Staff,Sales
10219,Genta,Kolvik,40000,Senior Staff,Development
10224,Leon,Trogemann,40000,Senior Engineer,Production
10228,Karoline,Cesareni,79474,Senior Staff,Marketing
10230,Clyde,Vernadat,47531,Senior Staff,Research
10233,Lein,Vendrig,40000,Senior Staff,Human Resources
10239,Nikolaos,Llado,65146,Staff,Marketing
10240,Remko,Maccarone,73874,Engineer,Quality Management
10248,Frederique,Tempesti,58918,Senior Staff,Sales
10249,Marie,Boreale,72192,Senior Engineer,Research
10258,Basil,Ishibashi,66280,Senior Engineer,Development
10262,Mahendra,Maraist,63005,Staff,Sales
10272,Yishai,Cannane,58070,Staff,Finance
10281,Moty,Kusakari,46123,Senior Engineer,Quality Management
10282,Hercules,Benzmuller,40000,Engineer,Production
10283,Kauko,Birjandi,40000,Senior Engineer,Development
10284,Masali,Murrill,40000,Engineer,Production
10295,Kristine,Velardi,46398,Senior Staff,Finance
10298,Dietrich,DuCasse,40000,Staff,Production
10306,Heng,Kilgour,44229,Staff,Sales
10307,Nikolaos,Leaver,40000,Engineer,Quality Management
10322,Isamu,Dahlbom,41968,Senior Engineer,Development
10325,Arunachalam,Badr,44325,Senior Staff,Human Resources
10326,Masali,Czap,40000,Staff,Research
10328,Serenella,Kawashima,46286,Engineer,Development
10333,Snehasis,Dymetman,45141,Senior Engineer,Development
10340,Djelloul,Laventhal,68132,Senior Staff,Marketing
10343,Dinah,Syrzycki,40000,Senior Engineer,Quality Management
10347,Pradeep,Kaminger,42199,Staff,Research
10349,Oksana,Brodie,47518,Senior Staff,Customer Service
10353,Phule,Hammerschmidt,62656,Senior Staff,Marketing
10355,Satyanarayana,Cochrane,70434,Staff,Sales
10356,Vasilis,Standera,45376,Senior Staff,Research
10358,Qunsheng,Tagansky,63243,Technique Leader,Development
10364,Nakhoon,Dengi,51401,Senior Engineer,Production
10367,Hyuckchul,Gini,63565,Senior Staff,Marketing
10372,Anneli,Frijda,54505,Technique Leader,Production
10377,Marl,Grospietsch,40000,Senior Engineer,Production
10387,Parto,Wrigley,61374,Senior Staff,Customer Service
10388,Hironoby,Kaiser,62545,Staff,Sales
10389,Make,Peir,55548,Technique Leader,Development
10396,Sibyl,Rahier,40393,Senior Engineer,Development
10397,Irena,Reutenauer,40529,Technique Leader,Production
10402,Volkmar,Ebeling,40000,Technique Leader,Quality Management
10404,Prodip,Rosti,51647,Senior Engineer,Development
10407,Ulf,Siepmann,62565,Senior Staff,Sales
10413,Danel,Impagliazzo,45416,Senior Staff,Human Resources
10418,Candida,Porotnikoff,52224,Staff,Marketing
10422,Greger,Rubsam,45725,Engineer,Quality Management
10426,Arunas,Luce,65757,Technique Leader,Development
10429,Martien,Improta,40000,Senior Engineer,Development
10432,Hisao,Tiemann,40000,Senior Staff,Customer Service
10433,Reuven,Dengi,40000,Engineer,Quality Management
10451,Bodh,Ranta,46275,Senior Engineer,Production
10453,Tsvetan,Matzel,40000,Senior Staff,Customer Service
10463,Ung,Zaiane,66480,Staff,Sales
10477,Guoxiang,Trogemann,55138,Senior Engineer,Development
10486,Amstein,Kossowski,71692,Senior Engineer,Quality Management
10494,Yakkov,Servieres,50094,Senior Engineer,Production
10497,Pramod,Rabehasaina,63707,Senior Engineer,Production
10499,Maik,Luft,40000,Senior Staff,Sales
10503,Dannz,Pell,40000,Engineer,Production
10504,Xiong,Varker,43931,Staff,Sales
10509,Abdelwaheb,Riesenhuber,49292,Senior Staff,Sales
10512,Udi,Gihr,40000,Senior Staff,Human Resources
10517,Tiina,Speek,65330,Senior Staff,Sales
10522,Marke,Cesareni,40000,Senior Staff,Human Resources
10529,Ymte,Yetto,47840,Assistant Engineer,Production
10531,Oguz,Gimbel,49168,Staff,Human Resources
10542,Yannis,Couchot,40000,Senior Engineer,Development
10548,Ramalingam,Gunderson,90631,Senior Staff,Marketing
10552,Kazuhito,Shiratori,80483,Senior Engineer,Production
10564,Jianhao,Thisen,46660,Senior Engineer,Production
10568,Gao,Poulakidas,64356,Staff,Sales
10586,Kirk,Vuskovic,47541,Senior Engineer,Production
10593,Falguni,Kenevan,71435,Senior Engineer,Production
10596,Sanjit,Coors,58689,Senior Staff,Sales
10603,Wayne,Restivo,101271,Staff,Sales
10610,Irena,Roccetti,49812,Engineer,Development
10614,Gila,Ozeri,40000,Senior Engineer,Customer Service
10615,Keung,Delgrande,43533,Senior Staff,Finance
10623,Aleksander,Danlos,60268,Senior Engineer,Research
10624,Sham,Gyorkos,40000,Technique Leader,Production
10628,Krisda,Krogh,41650,Senior Engineer,Development
10630,Bezalel,Katzenelson,40000,Engineer,Production
10631,Inderjeet,Chaudhuri,40000,Engineer,Development
10634,Nahid,Chepyzhov,45179,Senior Engineer,Research
10636,Saeko,Porotnikoff,40904,Staff,Human Resources
10639,Pramod,Erol,46291,Senior Engineer,Development
10641,Guozhong,Zucker,41785,Engineer,Development
10642,Hirochika,Narlikar,40000,Engineer,Development
10653,Otmar,Feinberg,40000,Senior Engineer,Development
10667,Makato,Cusworth,40000,Senior Staff,Customer Service
10671,Parviz,Rebaine,74037,Senior Staff,Human Resources
10676,Valeri,Danley,58226,Engineer,Development
10683,Guiseppe,Stranks,40000,Senior Engineer,Production
10693,Berhard,Daescu,40000,Senior Staff,Customer Service
10696,Unal,Fendler,68913,Technique Leader,Development
10702,Bader,Szemeredi,46581,Senior Engineer,Development
10712,Uma,Koprowski,40000,Senior Engineer,Development
10718,Adib,Rullman,75473,Senior Engineer,Development
10726,Zita,Minakawa,46315,Senior Engineer,Development
10734,Sachar,Erdi,47377,Engineer,Production
10741,Sven,Huttel,50265,Senior Staff,Marketing
10742,Shim,Wiegley,67405,Technique Leader,Development
10745,Poorav,Ranze,40000,Senior Engineer,Production
10749,King,Brendel,60829,Senior Engineer,Production
10750,Roddy,Demeyer,40000,Technique Leader,Development
10764,Yunming,Beetstra,70720,Senior Engineer,Development
10767,Monique,Doering,40651,Staff,Sales
10768,Ishfaq,Candan,65717,Senior Engineer,Production
10778,Selwyn,Merey,64996,Senior Staff,Marketing
10791,Tadahiko,Sgarro,40000,Senior Engineer,Development
10795,Supot,Naudin,84206,Senior Staff,Sales
10808,Chenxi,Leijenhorst,40000,Senior Engineer,Development
10811,Ashish,Fortenbacher,40000,Engineer,Production
10813,Shalesh,Shumilov,53246,Senior Staff,Sales
10814,Nidapan,Dymetman,59378,Senior Staff,Sales
10826,Arnd,Anandan,59506,Senior Engineer,Development
10827,Willard,Danley,58322,Staff,Finance
10830,Fen,Fiebach,47420,Senior Staff,Marketing
10831,Toong,Driscoll,82330,Technique Leader,Development
10833,Krisda,Gecseg,40000,Technique Leader,Quality Management
10834,Huiqun,Rajcani,53869,Engineer,Production
10835,Tomoyuki,Kermarrec,40000,Engineer,Production
10836,Jianhua,Leivant,65502,Senior Staff,Customer Service
10844,Dipayan,Koprowski,40000,Engineer,Development
10846,Tokuyasu,Serre,40000,Senior Engineer,Research
10847,Theirry,Danley,40000,Senior Staff,Research
10848,Fen,Bratsberg,50475,Senior Engineer,Production
10849,Makato,Mayerwieser,66065,Engineer,Development
10854,Jagoda,Nannarelli,40000,Engineer,Development
10858,Kenroku,Gonthier,47847,Senior Engineer,Development
10871,Aram,Gilg,40000,Staff,Customer Service
10872,Karoline,Speel,40000,Senior Staff,Finance
10873,Sukumar,Wegerle,65835,Staff,Finance
10878,Lakshmi,Deville,72102,Staff,Sales
10879,Muzhong,Chleq,65651,Senior Engineer,Development
10882,Fun,Heuser,40000,Engineer,Development
10883,Shimshon,Champarnaud,40000,Engineer,Production
10885,Rayond,Cronau,78613,Senior Staff,Marketing
10887,Lunjin,DeMori,69570,Senior Engineer,Development
10900,Ferdinand,Prenel,50054,Senior Engineer,Development
10906,Munehiro,Carrere,66204,Staff,Sales
