emp_no,first_name,last_name,salary,title,dept_name
10001,Georgi,Facello,60117,Senior Engineer,Development
10004,Chirstian,Koblick,40054,Senior Engineer,Production
10009,Sumant,Peac,60929,Senior Engineer,Quality Management
10018,Kazuhide,Peha,55881,Senior Engineer,Production
10035,Alain,Chappelet,41538,Senior Engineer,Production
10053,Sanjiv,Zschoche,67854,Senior Staff,Sales
10058,Berhard,McFarlin,52787,Senior Staff,Marketing
10066,Kwee,Schusler,69736,Senior Engineer,Development
10067,Claudi,Stavenow,44642,Senior Engineer,Quality Management
10070,Reuven,Garigliano,55999,Technique Leader,Research
10072,Hironoby,Sidou,40000,Senior Engineer,Development
10076,Erez,Ritzmann,47319,Senior Engineer,Development
10088,Jungsoon,Syrzycki,65957,Senior Staff,Customer Service
10100,Hironobu,Haraldson,54398,Senior Staff,Human Resources
10103,Akemi,Birch,68158,Engineer,Development
10126,Kayoko,Valtorta,40000,Senior Staff,Customer Service
10129,Armond,Peir,40000,Technique Leader,Development
10130,Nishit,Casperson,40000,Senior Engineer,Production
10134,Diederik,Siprelle,40000,Senior Engineer,Production
10138,Perry,Shimshoni,53574,Senior Engineer,Quality Management
10150,Zhenbing,Perng,70122,Senior Engineer,Development
10153,Heekeun,Majewski,54246,Assistant Engineer,Development
10157,Nigel,Aloisi,48770,Senior Engineer,Development
10198,Pranav,Furedi,44076,Senior Engineer,Development
10215,Xiaobin,Duclos,43944,Senior Staff,Sales
10224,Leon,Trogemann,40000,Senior Engineer,Production
10233,Lein,Vendrig,40000,Senior Staff,Human Resources
10258,Basil,Ishibashi,66280,Senior Engineer,Development
10272,Yishai,Cannane,58070,Staff,Finance
10282,Hercules,Benzmuller,40000,Engineer,Production
10283,Kauko,Birjandi,40000,Senior Engineer,Development
10326,Masali,Czap,40000,Staff,Research
10340,Djelloul,Laventhal,68132,Senior Staff,Marketing
10347,Pradeep,Kaminger,42199,Staff,Research
10355,Satyanarayana,Cochrane,70434,Staff,Sales
10356,Vasilis,Standera,45376,Senior Staff,Research
10364,Nakhoon,Dengi,51401,Senior Engineer,Production
10372,Anneli,Frijda,54505,Technique Leader,Production
10387,Parto,Wrigley,61374,Senior Staff,Customer Service
10396,Sibyl,Rahier,40393,Senior Engineer,Development
10402,Volkmar,Ebeling,40000,Technique Leader,Quality Management
10404,Prodip,Rosti,51647,Senior Engineer,Development
10426,Arunas,Luce,65757,Technique Leader,Development
10429,Martien,Improta,40000,Senior Engineer,Development
10432,Hisao,Tiemann,40000,Senior Staff,Customer Service
10451,Bodh,Ranta,46275,Senior Engineer,Production
10453,Tsvetan,Matzel,40000,Senior Staff,Customer Service
10463,Ung,Zaiane,66480,Staff,Sales
10486,Amstein,Kossowski,71692,Senior Engineer,Quality Management
10494,Yakkov,Servieres,50094,Senior Engineer,Production
10504,Xiong,Varker,43931,Staff,Sales
10512,Udi,Gihr,40000,Senior Staff,Human Resources
10522,Marke,Cesareni,40000,Senior Staff,Human Resources
10548,Ramalingam,Gunderson,90631,Senior Staff,Marketing
10564,Jianhao,Thisen,46660,Senior Engineer,Production
10623,Aleksander,Danlos,60268,Senior Engineer,Research
10628,Krisda,Krogh,41650,Senior Engineer,Development
10631,Inderjeet,Chaudhuri,40000,Engineer,Development
10642,Hirochika,Narlikar,40000,Engineer,Development
10653,Otmar,Feinberg,40000,Senior Engineer,Development
10671,Parviz,Rebaine,74037,Senior Staff,Human Resources
10676,Valeri,Danley,58226,Engineer,Development
10693,Berhard,Daescu,40000,Senior Staff,Customer Service
10702,Bader,Szemeredi,46581,Senior Engineer,Development
10718,Adib,Rullman,75473,Senior Engineer,Development
10726,Zita,Minakawa,46315,Senior Engineer,Development
10734,Sachar,Erdi,47377,Engineer,Production
10745,Poorav,Ranze,40000,Senior Engineer,Production
10749,King,Brendel,60829,Senior Engineer,Production
10767,Monique,Doering,40651,Staff,Sales
10768,Ishfaq,Candan,65717,Senior Engineer,Production
10778,Selwyn,Merey,64996,Senior Staff,Marketing
10791,Tadahiko,Sgarro,40000,Senior Engineer,Development
10795,Supot,Naudin,84206,Senior Staff,Sales
10808,Chenxi,Leijenhorst,40000,Senior Engineer,Development
10835,Tomoyuki,Kermarrec,40000,Engineer,Production
10836,Jianhua,Leivant,65502,Senior Staff,Customer Service
10844,Dipayan,Koprowski,40000,Engineer,Development
10847,Theirry,Danley,40000,Senior Staff,Research
10848,Fen,Bratsberg,50475,Senior Engineer,Production
10878,Lakshmi,Deville,72102,Staff,Sales
10879,Muzhong,Chleq,65651,Senior Engineer,Development
10883,Shimshon,Champarnaud,40000,Engineer,Production
10909,Georgi,Atchley,80935,Senior Engineer,Development
10921,Mara,Bahi,72601,Senior Engineer,Production
10924,Hironoby,Atchley,84783,Senior Staff,Sales
10927,Gal,Scallan,51819,Senior Staff,Marketing
10936,Mountaz,Schicker,40000,Senior Staff,Human Resources
10943,Berna,Skafidas,45890,Senior Engineer,Development
10965,Eckart,Braunschweig,61654,Senior Staff,Sales
10969,Premal,Noriega,40000,Senior Engineer,Development
10974,Muneo,Papsdorf,56005,Senior Engineer,Development
10986,Masako,Schiper,43900,Technique Leader,Development
10988,Chinya,Deyuan,54174,Senior Engineer,Development
10989,Sumali,Candan,46406,Senior Staff,Finance
10990,Shin,Foote,40000,Technique Leader,Development
11009,Alper,Axelband,75111,Senior Staff,Sales
11012,Taegyun,Speckmann,72092,Staff,Customer Service
11019,Leon,Huttel,69387,Senior Engineer,Development
11021,Srinidhi,Henders,62670,Staff,Research
11027,Remzi,Cappello,40000,Senior Engineer,Production
11031,Ottavia,Walstra,71654,Senior Staff,Marketing
11037,Lansing,Maliniak,40000,Senior Engineer,Production
11038,Jinya,Beidas,44993,Senior Staff,Research
11042,Gou,Breugel,40000,Senior Engineer,Development
11048,Jaques,Demke,65697,Senior Staff,Sales
11050,Elvis,Katiyar,52251,Senior Staff,Marketing
11051,Przemyslawa,Erol,40000,Senior Engineer,Production
11070,Adib,Raney,40000,Senior Engineer,Quality Management
11081,Barry,Boyle,65686,Senior Staff,Finance
11085,Hailing,Thummel,66437,Senior Engineer,Production
11100,Berna,Cochrane,40000,Senior Staff,Research
11106,Aris,Iwayama,71446,Senior Engineer,Development
11112,Boaz,Mukaidono,40000,Staff,Customer Service
11113,Shahab,Peng,66401,Senior Staff,Marketing
11121,Vugranam,Kakkad,40000,Senior Engineer,Development
11133,Nalini,Azulay,40000,Technique Leader,Quality Management
11134,Sachar,Rajcani,58731,Senior Engineer,Quality Management
11137,Hugh,Luca,40000,Engineer,Development
11139,Bogdan,Homond,63596,Senior Staff,Customer Service
11146,Ishfaq,Masand,96019,Senior Staff,Sales
11148,Zhanqiu,Botman,56344,Senior Staff,Human Resources
11162,Kauko,Narlikar,69873,Senior Engineer,Development
11180,Mitsuyuki,Bojadziev,40000,Senior Engineer,Development
11197,Tadahiro,Fordan,88741,Senior Staff,Sales
11204,Diederik,Covnot,40000,Technique Leader,Production
11207,Saeed,Gips,49728,Engineer,Development
11208,Saniya,Valtorta,83660,Technique Leader,Production
11211,Yurij,Rissland,72668,Senior Engineer,Production
11217,Kellie,Mawatari,40000,Senior Engineer,Production
11232,Hidefumi,Crelier,43863,Senior Staff,Customer Service
11240,Kiam,Condotta,61739,Engineer,Development
11249,Randi,Cyre,43324,Engineer,Development
11251,Bezalel,Chinal,69432,Senior Staff,Marketing
11268,Aimee,Petersohn,40000,Senior Engineer,Production
11275,Hitomi,Eppinger,58382,Senior Engineer,Development
11290,Visit,Dredge,65034,Engineer,Development
11295,Abdelkader,Lanzelotte,66622,Senior Staff,Finance
11319,Pranas,Marrakchi,40000,Assistant Engineer,Development
11320,Atilio,McAlpine,45118,Senior Staff,Marketing
11322,Nathalie,Pocchiola,43021,Senior Engineer,Quality Management
11324,Kauko,Billingsley,54288,Senior Engineer,Production
11338,Kwangsub,Hanratty,82210,Senior Staff,Sales
11339,Flemming,Massonet,40000,Senior Engineer,Production
11347,Anneli,Jonsson,41524,Senior Engineer,Development
11365,Toshimi,Shinomoto,56463,Engineer,Production
11376,Valery,Suomi,46964,Senior Staff,Research
11380,Kenroku,Pelc,53345,Senior Engineer,Development
11385,Shiv,Ullian,40000,Engineer,Production
11386,Alselm,Assaf,47726,Senior Engineer,Quality Management
11393,Junsik,Junot,40000,Senior Engineer,Production
11398,Oscar,Peir,44625,Senior Staff,Finance
11404,Bedrich,Borovoy,42907,Technique Leader,Development
11415,Sanjiv,Anido,40000,Engineer,Production
11421,Josyula,Msuda,52416,Senior Engineer,Production
11441,Marlo,Aingworth,67352,Senior Staff,Sales
11449,Kotesh,Asser,61434,Senior Engineer,Production
11459,Duke,Suomi,40000,Senior Staff,Human Resources
11469,Guttorm,Giaccio,44625,Senior Engineer,Production
11506,Rance,Picel,89747,Staff,Sales
11509,Aleksander,Feldhoffer,40000,Senior Engineer,Development
11513,Otmar,Mahnke,82525,Senior Staff,Finance
11515,Ulf,Basawa,70182,Staff,Sales
11518,Jinxi,Oxman,40000,Senior Staff,Human Resources
11524,Xiadong,Standera,41081,Senior Engineer,Development
11527,Alagu,Boyle,60212,Staff,Marketing
11528,Zito,Dolinsky,44026,Technique Leader,Production
11537,DAIDA,Pehl,96023,Senior Staff,Sales
11554,Subhash,Taubenfeld,46065,Staff,Marketing
11555,Kotesh,Perfilyeva,40000,Senior Staff,Human Resources
11567,Teiji,Mitzlaff,86261,Senior Staff,Sales
11568,Martins,Fujisaki,54673,Senior Engineer,Development
11603,Herb,Swen,69180,Senior Staff,Finance
11607,Tomokazu,Foong,49584,Engineer,Production
11615,Shem,Isaak,46591,Senior Staff,Sales
11624,Adil,Gammage,42001,Senior Engineer,Production
11628,Fan,Malinowski,43966,Senior Engineer,Research
11640,Valeri,Coorg,52520,Senior Engineer,Development
11647,Magy,Nitsche,40000,Senior Engineer,Development
11660,Gill,Stenning,65758,Senior Staff,Sales
11673,Henk,Felder,40000,Technique Leader,Production
11676,Valeri,Ferriere,43310,Engineer,Production
11681,Fumitake,Benzmuller,40000,Senior Engineer,Production
11684,Oksana,Gide,68753,Senior Staff,Marketing
11696,Dante,Rothe,51633,Senior Staff,Sales
11732,Sanjoy,Ranft,40000,Senior Engineer,Customer Service
11735,Amalendu,Picci,40000,Senior Staff,Customer Service
11746,Koichi,Marrakchi,55951,Senior Staff,Sales
11751,Jiafu,Emiris,40000,Senior Staff,Research
11764,Sanjay,Anick,64875,Senior Engineer,Production
11769,Chandrasekaran,Lampe,40000,Senior Staff,Development
11772,Gaurav,Penz,61295,Engineer,Development
11797,Chenxi,Thambidurai,88050,Senior Staff,Marketing
11810,Amabile,Bhattacharjee,41256,Senior Engineer,Development
11817,Niranjan,Markovitch,50638,Senior Staff,Sales
11832,Arto,Zlotek,40000,Engineer,Development
